Country Name,Country Code,Series Name,Series Code,2015
Cyprus,CYP,PISA: Mean performance on the reading scale,LO.PISA.REA,442.8443
Cyprus,CYP,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,468.6583373
Cyprus,CYP,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,416.8270516
Cyprus,CYP,PISA: Mean performance on the science scale,LO.PISA.SCI,432.5964
Cyprus,CYP,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,440.9481867
Cyprus,CYP,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,424.1478215
Czech Republic,CZE,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,492.3254
Czech Republic,CZE,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,488.665606
Czech Republic,CZE,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,495.7941658
Czech Republic,CZE,PISA: Mean performance on the reading scale,LO.PISA.REA,487.2501
Czech Republic,CZE,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,500.6526599
Czech Republic,CZE,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,474.5474644
Czech Republic,CZE,PISA: Mean performance on the science scale,LO.PISA.SCI,492.83
Czech Republic,CZE,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,488.3982801
Czech Republic,CZE,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,497.0304043
Denmark,DNK,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,511.0876
Denmark,DNK,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,506.374751
Denmark,DNK,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,515.7564693
Denmark,DNK,PISA: Mean performance on the reading scale,LO.PISA.REA,499.8146
Denmark,DNK,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,510.951614
Denmark,DNK,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,488.7816405
Denmark,DNK,PISA: Mean performance on the science scale,LO.PISA.SCI,501.9369
Denmark,DNK,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,498.9027054
Denmark,DNK,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,504.9427147
Dominican Republic,DOM,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,327.702
Dominican Republic,DOM,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,329.7459308
Dominican Republic,DOM,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,325.5865611
Dominican Republic,DOM,PISA: Mean performance on the reading scale,LO.PISA.REA,357.7377
Dominican Republic,DOM,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,372.7805828
Dominican Republic,DOM,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,342.1681549
Dominican Republic,DOM,PISA: Mean performance on the science scale,LO.PISA.SCI,331.6388
Dominican Republic,DOM,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,330.8289914
Dominican Republic,DOM,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,332.4770146
Ecuador,ECU,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,..
Ecuador,ECU,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,..
Ecuador,ECU,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,..
Ecuador,ECU,PISA: Mean performance on the reading scale,LO.PISA.REA,..
Ecuador,ECU,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,..
Ecuador,ECU,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,..
Ecuador,ECU,PISA: Mean performance on the science scale,LO.PISA.SCI,..
Ecuador,ECU,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,..
Ecuador,ECU,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,..
"Egypt, Arab Rep.",EGY,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,..
"Egypt, Arab Rep.",EGY,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,..
"Egypt, Arab Rep.",EGY,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,..
"Egypt, Arab Rep.",EGY,PISA: Mean performance on the reading scale,LO.PISA.REA,..
